MJD	band	Flux	Flux_err	FilterSet	Instr	Phase	Log_Phase	Log_Flux	Log_Flux_err
57982.981	Swope_i	2.7123872793862084e-16	4.996401810965905e-18	GeneralFilters	E2V4kx4kccd	0.45248148000246147	-0.3443991917015087	-15.566648301054109	0.007999999676908011
57982.99	FourStar_H	2.572089829766606e-17	3.553473276409253e-18	GeneralFilters	FourStar	0.46148148000065703	-0.33584572322942197	-16.58971386782764	0.05999999757688259
57982.999	VISTA_Ks	1.006978656733957e-17	4.63730790063737e-19	GeneralFilters	VIRCAM	0.47048148000612855	-0.32745746743214565	-16.996979734372797	0.019999999192289224
57983.0	FourStar_J	6.736907768614266e-17	9.307381664644106e-18	GeneralFilters	FourStar	0.4714814800026943	-0.3265353618674832	-16.171539398299107	0.05999999757683899
57983.003	DECam_i	2.6204247627312897e-16	7.240500902739212e-18	GeneralFilters	DECam	0.4744814799996675	-0.3237807343239748	-15.581628305184708	0.01199999951533661
57983.004	DECam_z	1.575117058222635e-16	4.3522090938097134e-18	GeneralFilters	DECam	0.4754814800035092	-0.32286639416067603	-15.802687165143558	0.011999999515360137
57983.009	VISTA_J	6.036551060113702e-17	1.6679606307282446e-18	GeneralFilters	VIRCAM	0.48048148000088986	-0.31832334740943447	-16.219211121540134	0.011999999515344112
57983.019	VISTA_Y	1.3280086416077863e-16	1.223141111210512e-18	GeneralFilters	VIRCAM	0.49048148000292713	-0.3093773864173278	-15.876799098921039	0.003999999838439474
57983.029	VISTA_Ks	9.885992249136032e-18	5.463200991118026e-19	GeneralFilters	VIRCAM	0.5004814800049644	-0.30061198867509703	-17.004979734372792	0.023999999030732473
57983.03	FourStar_Ks	1.220855104945373e-17	1.6866735910829163e-18	GeneralFilters	FourStar	0.5014814800015301	-0.29974510109153363	-16.91333587647832	0.05999999757645512
57983.039	VISTA_J	6.379532855598002e-17	1.7627299992409135e-18	GeneralFilters	VIRCAM	0.5104814799997257	-0.2920200092672229	-16.195211121539618	0.011999999515386018
57983.059	FLAMINGOS-2_Ks	1.208874578696743e-17	4.453658354860212e-19	GeneralFilters	FLAMINGOS-2	0.5304814800038002	-0.2753297734451144	-16.917618755057717	0.01599999935380654
57983.156	UVOT_M2	2.2410281026530873e-16	4.5409387704944566e-17	GeneralFilters	UVOT	0.6274814800053718	-0.20239908777547636	-15.64955269734685	0.08799999644589743
57983.162	UVOT_W1	8.66877274645258e-16	8.782657881536579e-17	GeneralFilters	UVOT	0.6334814799993183	-0.19826607731040785	-15.06204238201282	0.043999998223004565
57983.167	UVOT_U	9.431003450473094e-16	7.817647348798023e-17	GeneralFilters	UVOT	0.6384814800039749	-0.19485169550115836	-15.025442096253286	0.035999998546053485
57983.172	UVOT_W2	2.8636748981643445e-16	6.066346476153968e-17	GeneralFilters	UVOT	0.6434814800013555	-0.19146394798097677	-15.543076287323451	0.09199999628434455
57983.229	HSC_z	1.8516384533219902e-16	1.7054219712199491e-18	GeneralFilters	HSC	0.700481480002054	-0.15460334251844624	-15.732443808720863	0.003999999838459793
57983.231	GFC_i	3.4481626669903756e-16	1.9055250322965944e-17	GeneralFilters	GFC	0.7024814800024615	-0.1533651208730721	-15.462412254532378	0.02399999903070804
57983.231	GFC_y	1.613408682119801e-16	1.486004252128693e-17	GeneralFilters	GFC	0.7024814800024615	-0.1533651208730721	-15.792255610349187	0.039999998384559296
57983.231	GFC_z	2.3219362611586793e-16	1.2831493454114355e-17	GeneralFilters	GFC	0.7024814800024615	-0.1533651208730721	-15.634149706133622	0.023999999030631144
